,Temperature_m,Relative_Humidity_m,Temperature_tl,Relative_Humidity_tl,Wind_Speed_Average_tl,Wind_Speed_Maximum_tl,Wind_Direction_(deg.)_tl,precip,depth,pressure,above,below,near,storm_slabs,wet_slabs,persistent,wind_slab,loose_wet,glide,cornices,loose_dry
2014-12-20 00:00:00,29.51,97.2,27.63,100.0,2.5540000000000003,11.11,267.2,0.0,9.22,1010.559,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-20 01:00:00,30.0,96.7,28.11,100.0,2.97,10.57,280.4,0.05,9.295,1009.746,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-20 02:00:00,30.12,96.3,28.47,100.0,4.04,11.24,278.8,0.06,9.325,1009.34,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-20 03:00:00,30.37,96.5,28.47,100.0,4.244,10.57,283.4,0.13,9.325,1008.933,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-20 04:00:00,29.76,96.1,28.11,100.0,5.428,11.65,288.4,0.08,9.33,1007.985,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-20 05:00:00,29.63,96.0,27.99,100.0,6.013,16.23,289.0,0.04,9.33,1007.578,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-20 06:00:00,29.51,96.1,28.35,100.0,4.873,11.68,291.7,0.14,9.33,1007.036,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-20 07:00:00,29.63,96.1,28.84,100.0,5.584,14.48,296.4,0.12,9.4,1006.901,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-20 08:00:00,31.34,96.9,30.41,100.0,7.87,18.48,298.2,0.1,9.5,1006.765,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-20 09:00:00,32.07,95.9,30.16,100.0,8.71,16.39,293.2,0.16,9.53,1006.765,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-20 10:00:00,32.68,96.5,30.76,100.0,8.98,18.58,290.1,0.17,9.53,1007.036,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-20 11:00:00,32.8,96.5,31.49,100.0,9.31,19.56,295.0,0.11,9.53,1006.901,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-20 12:00:00,32.68,96.7,31.49,100.0,10.24,21.14,277.5,0.17,9.53,1005.952,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-20 13:00:00,31.95,97.2,31.73,100.0,9.81,20.03,292.1,0.18,9.53,1005.004,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-20 14:00:00,31.71,97.1,32.22,100.0,9.12,15.92,291.0,0.18,9.53,1004.597,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-20 15:00:00,31.95,97.4,32.82,100.0,11.51,25.41,294.3,0.32,9.565,1004.326,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-20 16:00:00,32.32,97.8,35.61,100.0,12.88,23.22,291.2,0.31,9.6,1004.462,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-20 17:00:00,37.07,100.0,37.19,100.0,16.58,28.61,291.9,0.34,9.6,1004.592,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-20 18:00:00,39.01,97.0,38.15,100.0,15.19,28.48,287.5,0.3,9.635,1004.153,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-20 19:00:00,40.23,96.6,38.51,100.0,17.15,31.84,290.3,0.35,9.67,1003.608,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-20 20:00:00,40.71,95.9,38.87,100.0,18.46,32.0,290.0,0.35,9.675,1003.85,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-20 21:00:00,40.95,96.6,39.11,100.0,20.77,36.11,287.6,0.28,9.705,1004.268,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-20 22:00:00,41.31,96.4,39.47,100.0,22.11,43.82,288.0,0.34,9.73,1004.389,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-20 23:00:00,41.68,96.7,39.58,100.0,25.84,51.52,286.7,0.22,9.765,1003.98,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-21 00:00:00,40.58,95.8,38.61,100.0,24.74,49.29,295.3,0.26,9.8,1004.522,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-21 01:00:00,40.34,95.6,38.02,100.0,24.88,46.4,296.7,0.33,9.82,1005.065,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-21 02:00:00,36.69,94.6,34.75,100.0,26.0,51.12,309.5,0.37,9.855,1007.269,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-21 03:00:00,36.21,95.0,34.16,100.0,22.4,46.35,301.1,0.29,9.915,1007.54,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-21 04:00:00,36.09,94.9,34.4,100.0,20.17,48.17,298.6,0.28,9.995,1008.502,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-21 05:00:00,34.27,93.3,32.1,100.0,21.59,43.39,297.0,0.24,10.05,1009.746,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-21 06:00:00,33.29,96.1,31.85,100.0,15.73,31.54,294.1,0.25,10.2,1010.424,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-21 07:00:00,33.17,96.2,31.85,100.0,16.27,33.42,291.5,0.32,10.4,1010.83,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-21 08:00:00,33.05,97.0,31.73,100.0,15.47,31.98,294.8,0.16,10.5,1011.508,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-21 09:00:00,33.41,97.0,31.73,100.0,14.26,32.04,287.9,0.02,10.565,1012.592,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-21 10:00:00,33.54,95.0,31.61,100.0,14.78,31.13,294.8,0.11,10.665,1013.676,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-21 11:00:00,33.17,96.5,31.73,100.0,14.06,29.32,293.4,0.07,10.8,1014.218,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-21 12:00:00,33.41,96.0,31.61,100.0,13.63,26.49,290.5,0.07,11.0,1014.489,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-21 13:00:00,32.68,95.5,31.13,100.0,12.61,26.46,292.4,0.15,11.3,1014.624,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-21 14:00:00,32.8,95.5,31.13,100.0,13.88,26.99,304.4,0.11,11.57,1014.76,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-21 15:00:00,33.17,95.1,31.49,100.0,12.61,23.39,296.0,0.1,11.57,1015.166,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-21 16:00:00,32.93,95.7,31.01,100.0,12.07,22.25,296.2,0.16,11.57,1015.302,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
