Date/Time (PST),Battery Voltage (v),Temperature (deg F),Relative Humidity (%),Wind Speed Minimum (mph),Wind Speed Average (mph),Wind Speed Maximum (mph),Wind Direction (deg.)
2015-12-31 23:00,13.3,14.56,48.32,21.67,41.84,71.87,182.4
2015-12-31 22:00,13.3,17.98,31.06,17.06,46.45,89.5,232.9
2015-12-31 21:00,13.29,17.49,35.34,15.1,46.3,89.3,219.2
2015-12-31 20:00,13.29,21.59,30.99,13.98,46.75,92.6,188.9
2015-12-31 19:00,13.27,16.14,44.57,27.68,42.7,68.09,137.8
2015-12-31 18:00,13.26,16.98,42.36,25.3,43.79,91.4,136.6
2015-12-31 17:00,13.22,16.01,40.97,19.15,48.2,83.3,212.6
2015-12-31 16:00,13.18,18.76,41.37,19.43,44.99,93.5,230.0
2015-12-31 15:00,13.17,18.2,40.83,18.17,43.57,86.2,243.6
2015-12-31 14:00,13.16,20.22,37.43,12.16,42.71,82.0,195.2
2015-12-31 13:00,13.17,19.18,37.02,16.07,45.16,78.0,181.8
2015-12-31 12:00,13.19,18.88,27.55,23.48,44.76,69.89,181.5
2015-12-31 11:00,13.24,15.27,51.9,25.72,39.29,67.67,175.1
2015-12-31 10:00,13.29,14.91,54.83,18.6,40.87,67.81,181.3
2015-12-31 09:00,13.29,15.05,48.79,14.96,34.6,60.82,197.6
2015-12-31 08:00,13.3,16.33,39.14,15.94,32.8,47.54,171.8
2015-12-31 07:00,13.29,16.39,40.23,18.46,30.04,41.95,157.2
2015-12-31 06:00,13.27,15.04,40.43,5.873,15.36,27.69,140.9
2015-12-31 05:00,13.27,21.03,13.9,5.873,17.68,26.57,265.3
2015-12-31 04:00,13.26,19.93,19.87,14.26,20.03,27.41,179.3
2015-12-31 03:00,13.25,18.71,28.88,7.271,13.47,25.31,148.8
2015-12-31 02:00,13.24,19.31,22.56,4.474,9.63,17.48,158.2
2015-12-31 01:00,13.24,19.32,26.4,5.733,11.2,16.08,138.0
2015-12-31 00:00,13.23,21.39,20.86,8.95,12.97,18.18,299.3
2015-12-30 23:00,13.23,20.23,22.96,10.77,14.75,18.74,215.8
2015-12-30 22:00,13.23,20.72,22.62,9.79,15.78,22.37,236.1
2015-12-30 21:00,13.23,20.59,23.1,8.53,15.0,21.67,202.9
2015-12-30 20:00,13.22,20.1,24.25,6.711,15.26,23.63,192.0
2015-12-30 19:00,13.2,20.77,23.03,8.81,14.89,20.13,296.9
2015-12-30 18:00,13.18,19.92,25.41,11.6,14.62,19.15,244.1
2015-12-30 17:00,13.15,20.64,24.59,9.5,14.77,18.45,268.4
2015-12-30 16:00,13.12,21.5,24.25,7.827,12.17,15.38,262.7
2015-12-30 15:00,13.12,21.19,26.83,4.613,11.72,15.79,245.7
2015-12-30 14:00,13.08,22.22,28.96,3.075,8.51,17.05,171.4
2015-12-30 13:00,13.1,20.76,39.32,0.0,5.881,11.88,183.3
2015-12-30 12:00,13.14,19.3,64.63,0.0,2.905,14.54,88.9
2015-12-30 11:00,13.2,16.92,68.99,0.0,0.51,6.29,43.45
2015-12-30 10:00,13.26,18.39,61.01,0.0,8.6,18.88,149.4
2015-12-30 09:00,13.29,15.05,73.33,2.936,9.85,19.02,219.8
2015-12-30 08:00,13.31,11.87,85.7,8.39,12.4,17.2,326.8
2015-12-30 07:00,13.29,10.4,87.8,4.055,13.29,18.74,302.4
2015-12-30 06:00,13.28,11.38,88.1,1.258,7.782,16.08,194.7
2015-12-30 05:00,13.28,11.92,88.4,0.0,8.23,18.46,206.2
2015-12-30 04:00,13.27,11.49,87.7,0.0,2.224,9.93,168.6
2015-12-30 03:00,13.27,12.59,88.7,0.0,1.579,8.53,88.9
2015-12-30 02:00,13.26,12.96,88.6,0.0,0.056,1.258,249.5
2015-12-30 01:00,13.26,11.18,85.8,0.0,0.043,0.559,218.9
2015-12-30 00:00,13.26,11.49,86.1,0.0,0.031,0.559,228.3
2015-12-29 23:00,13.26,12.65,87.0,0.0,0.037,0.419,272.7
2015-12-29 22:00,13.26,13.45,88.6,0.0,0.147,1.538,248.0
2015-12-29 21:00,13.27,15.53,89.6,0.0,0.033,0.419,149.0
2015-12-29 20:00,13.27,15.77,89.5,0.0,0.607,3.496,187.3
2015-12-29 19:00,13.27,16.02,89.3,0.0,2.906,6.712,192.1
2015-12-29 18:00,13.28,15.4,88.2,1.538,5.258,9.37,208.1
2015-12-29 17:00,13.27,16.63,89.1,0.0,6.446,14.12,203.0
2015-12-29 16:00,13.28,16.99,90.4,7.131,11.4,15.52,206.4
2015-12-29 15:00,13.28,18.46,88.7,9.79,12.46,15.94,199.0
2015-12-29 14:00,13.28,19.92,88.9,10.91,14.92,20.13,212.9
2015-12-29 13:00,13.29,22.13,89.4,6.712,11.74,19.02,216.7
2015-12-29 12:00,13.3,22.93,90.0,9.09,12.65,17.34,229.6
2015-12-29 11:00,13.32,18.29,90.5,9.51,14.39,19.99,232.7
2015-12-29 10:00,13.32,17.19,89.7,8.67,13.13,17.48,227.2
2015-12-29 09:00,13.3,15.47,89.3,9.79,13.74,17.48,222.1
2015-12-29 08:00,13.29,14.8,90.1,5.034,13.89,22.93,240.1
2015-12-29 07:00,13.28,14.07,80.2,3.915,13.96,23.63,263.0
2015-12-29 06:00,13.28,13.21,86.3,0.0,4.75,19.99,206.1
2015-12-29 05:00,13.27,14.06,35.33,0.0,4.692,21.95,257.1
2015-12-29 04:00,13.26,13.81,51.91,0.0,9.99,22.09,268.1
2015-12-29 03:00,13.26,14.73,31.12,1.957,7.431,14.82,279.8
2015-12-29 02:00,13.25,15.59,46.14,1.538,5.746,12.3,296.0
2015-12-29 01:00,13.25,15.22,48.51,0.0,3.221,11.33,250.7
2015-12-29 00:00,13.24,13.75,66.51,0.0,1.755,6.571,261.2
2015-12-28 23:00,13.23,13.19,79.96,0.0,1.325,8.25,247.6
2015-12-28 22:00,13.22,13.19,86.0,0.0,1.564,9.65,236.4
2015-12-28 21:00,13.22,13.56,84.4,0.0,0.07,1.118,267.5
2015-12-28 20:00,13.21,14.66,86.2,0.0,0.335,3.355,190.8
2015-12-28 19:00,13.2,15.39,78.19,0.0,1.273,12.58,176.5
2015-12-28 18:00,13.18,15.88,79.18,0.0,1.902,13.14,171.8
2015-12-28 17:00,13.15,16.85,70.91,0.0,4.986,15.65,262.9
2015-12-28 16:00,13.12,17.95,58.62,0.0,5.463,28.51,238.1
2015-12-28 15:00,13.12,20.76,81.6,0.0,8.32,19.57,273.2
2015-12-28 14:00,13.14,18.56,80.7,0.0,10.81,27.96,222.9
2015-12-28 13:00,13.16,20.52,79.61,0.0,6.616,25.3,180.8
2015-12-28 12:00,13.19,17.83,88.8,0.0,2.211,10.06,135.8
2015-12-28 11:00,13.2,19.55,85.7,0.0,0.999,7.268,162.1
2015-12-28 10:00,13.19,22.49,73.16,0.0,5.651,22.08,235.4
2015-12-28 09:00,13.22,21.88,58.22,1.258,12.18,27.96,286.4
2015-12-28 08:00,13.23,18.09,71.37,0.0,4.643,16.22,211.2
2015-12-28 07:00,13.23,17.6,63.32,5.591,14.73,23.62,272.3
2015-12-28 06:00,13.22,17.11,71.64,0.0,11.19,27.54,253.4
2015-12-28 05:00,13.22,18.15,81.5,0.0,14.36,25.3,270.6
2015-12-28 04:00,13.21,19.06,89.3,0.14,13.43,27.12,273.3
2015-12-28 03:00,13.21,19.0,87.1,0.0,9.85,22.37,279.2
2015-12-28 02:00,13.21,19.55,90.7,0.0,5.104,17.19,258.0
2015-12-28 01:00,13.22,20.04,91.4,0.0,3.277,12.02,253.1
2015-12-28 00:00,13.21,19.8,92.1,0.0,3.773,12.86,187.4
2015-12-27 23:00,13.22,21.75,91.0,3.355,22.83,35.36,256.8
2015-12-27 22:00,13.22,20.84,92.5,17.33,26.23,34.67,249.5
2015-12-27 21:00,13.23,20.59,92.4,18.45,24.81,30.75,234.0
2015-12-27 20:00,13.24,20.47,92.0,16.08,21.26,28.1,224.3
2015-12-27 19:00,13.24,20.96,91.9,15.38,21.49,28.1,228.4
2015-12-27 18:00,13.24,21.26,92.1,16.63,23.65,31.31,236.3
2015-12-27 17:00,13.24,21.94,92.6,17.33,23.43,33.13,230.4
2015-12-27 16:00,13.24,22.98,92.1,14.4,23.81,32.99,226.1
2015-12-27 15:00,13.25,23.22,92.0,16.22,23.24,31.18,232.3
2015-12-27 14:00,13.26,22.24,89.1,16.77,24.16,31.73,231.1
2015-12-27 13:00,13.27,21.81,87.9,21.39,27.93,36.35,232.8
2015-12-27 12:00,13.27,18.39,78.7,21.25,26.07,33.97,219.6
2015-12-27 11:00,13.29,19.74,76.02,16.78,23.96,32.99,225.8
2015-12-27 10:00,13.28,19.55,76.77,16.77,22.88,28.94,219.2
2015-12-27 09:00,13.24,20.04,82.1,18.73,25.52,34.25,223.3
2015-12-27 08:00,13.23,19.68,83.4,18.31,25.0,31.31,225.2
2015-12-27 07:00,13.23,22.0,88.8,20.55,27.7,34.25,235.1
2015-12-27 06:00,13.22,17.17,81.1,21.11,29.51,38.44,235.7
2015-12-27 05:00,13.21,19.67,89.5,23.06,31.71,40.54,229.1
2015-12-27 04:00,13.22,20.65,88.9,17.89,27.68,39.7,224.0
2015-12-27 03:00,13.22,22.98,92.5,19.15,25.73,35.64,232.2
2015-12-27 02:00,13.22,24.57,94.4,20.27,27.73,36.06,231.3
2015-12-27 01:00,13.23,23.34,93.6,18.03,27.93,42.91,227.8
2015-12-27 00:00,13.22,24.26,94.2,19.71,27.44,39.42,226.4
2015-12-26 23:00,13.23,23.59,93.2,22.92,29.14,38.72,221.3
2015-12-26 22:00,13.24,20.41,92.4,27.54,36.07,50.32,220.8
2015-12-26 21:00,13.24,16.62,80.0,22.22,28.01,34.25,223.9
2015-12-26 20:00,13.24,19.06,79.89,16.63,22.45,30.89,219.9
2015-12-26 19:00,13.24,18.94,79.18,14.82,20.63,26.84,224.7
2015-12-26 18:00,13.24,19.92,80.6,6.43,13.97,23.21,214.1
2015-12-26 17:00,13.24,19.92,83.2,3.075,8.44,13.98,220.1
2015-12-26 16:00,13.24,19.92,83.4,1.817,7.725,16.77,213.5
2015-12-26 15:00,13.23,21.26,85.5,3.075,7.488,13.98,220.8
2015-12-26 14:00,13.23,23.34,84.6,0.839,5.74,16.77,202.3
2015-12-26 13:00,13.22,23.83,87.5,0.0,3.239,10.48,214.8
2015-12-26 12:00,13.23,26.15,85.0,0.0,0.184,13.28,193.7
2015-12-26 11:00,13.24,23.34,79.89,0.0,0.433,3.634,168.3
2015-12-26 10:00,13.28,25.97,78.09,0.0,0.683,5.592,207.1
2015-12-26 09:00,13.3,23.66,71.14,0.0,2.537,10.77,261.0
2015-12-26 08:00,13.31,13.33,74.75,1.258,7.015,10.63,245.9
2015-12-26 07:00,13.32,9.54,79.65,0.0,2.72,7.411,261.2
2015-12-26 06:00,13.31,11.74,81.2,0.0,5.37,10.77,338.6
2015-12-26 05:00,13.3,11.74,72.95,0.0,1.048,5.313,330.1
2015-12-26 04:00,13.3,7.706,80.6,0.0,0.047,0.419,277.5
2015-12-26 03:00,13.3,7.705,79.58,0.0,0.053,0.28,283.0
2015-12-26 02:00,13.3,6.543,80.1,0.0,0.052,0.419,251.9
2015-12-26 01:00,13.3,6.849,80.5,0.0,0.087,1.119,264.5
2015-12-26 00:00,13.3,8.07,80.5,0.0,1.635,6.991,244.1
2015-12-25 23:00,13.3,6.665,80.1,0.0,2.602,6.991,244.0
