Date/Time (PST),Battery Voltage (v),Temperature (deg F),Relative Humidity (%),Wind Speed Minimum (mph),Wind Speed Average (mph),Wind Speed Maximum (mph),Wind Direction (deg.),"Precipitation ("")","24 hour snowfall ("")","Snow Depth ("")"
2016-12-31 23:00,13.59,16.87,94.2,6.602,14.49,31.53,291.3,0.12,36.89,97.0
2016-12-31 22:00,13.61,19.29,95.2,9.09,15.2,32.97,281.3,0.09,-31.07,97.0
2016-12-31 21:00,13.59,20.26,95.5,8.32,14.57,28.22,278.8,0.09,-31.2,100.1
2016-12-31 20:00,13.61,19.78,95.5,7.11,13.47,28.43,283.7,0.01,33.24,102.4
2016-12-31 19:00,13.59,19.9,95.3,8.39,16.83,28.6,297.7,0.0,28.6,103.7
2016-12-31 18:00,13.61,18.56,93.8,8.79,18.46,31.32,308.4,0.0,15.61,103.7
2016-12-31 17:00,13.6,22.31,66.61,9.7,17.01,25.93,304.1,0.0,47.89,104.0
2016-12-31 16:00,13.61,20.73,76.0,9.46,17.16,27.64,307.1,0.0,48.36,104.2
2016-12-31 15:00,13.61,24.0,50.57,8.55,15.37,29.6,307.6,0.0,47.83,104.2
2016-12-31 14:00,13.6,27.39,38.65,5.758,11.39,20.57,300.7,0.0,48.09,104.2
2016-12-31 13:00,13.59,30.06,36.77,6.667,14.11,23.54,314.2,0.0,48.03,104.2
2016-12-31 12:00,13.59,28.48,33.94,6.768,13.33,23.47,314.0,0.0,2.824,104.2
2016-12-31 11:00,13.61,28.37,40.48,4.547,10.6,16.2,311.7,0.0,10.71,103.7
2016-12-31 10:00,13.59,27.17,36.91,-0.034,7.86,15.63,308.0,0.0,16.2,103.7
2016-12-31 09:00,13.61,25.23,49.65,1.415,8.48,15.33,313.5,0.0,145.6,104.5
2016-12-31 08:00,13.59,22.08,50.86,-0.202,5.098,10.91,328.0,0.0,132.3,104.5
2016-12-31 07:00,13.6,23.17,43.99,-0.135,2.136,7.28,342.8,0.0,133.4,104.7
2016-12-31 06:00,13.59,22.08,45.54,-0.067,0.174,2.425,350.0,0.0,122.7,104.7
2016-12-31 05:00,13.59,21.84,36.78,-0.135,-0.011,0.101,12.49,0.0,113.3,104.7
2016-12-31 04:00,13.6,21.72,35.77,-0.135,0.198,6.063,15.78,0.0,106.8,103.9
2016-12-31 03:00,13.6,21.35,38.73,-0.135,0.05,1.718,49.15,0.0,97.0,103.9
2016-12-31 02:00,13.6,20.38,42.51,-0.101,0.136,3.469,13.68,0.0,97.8,103.9
2016-12-31 01:00,13.59,21.11,43.52,-0.135,0.957,6.804,35.83,0.0,107.3,104.9
2016-12-31 00:00,13.59,18.08,74.0,-0.101,0.209,3.84,38.27,0.0,108.8,104.9
2016-12-30 23:00,13.6,18.69,54.43,-0.101,1.731,5.558,62.47,0.0,109.8,104.9
2016-12-30 22:00,13.59,17.84,73.4,-0.135,0.095,2.829,40.79,0.0,106.2,104.7
2016-12-30 21:00,13.6,17.72,75.7,-0.168,0.016,0.943,36.85,0.0,101.8,104.5
2016-12-30 20:00,13.59,18.08,73.3,-0.202,0.182,2.897,35.26,0.0,93.4,104.5
2016-12-30 19:00,13.6,19.29,95.5,-0.202,0.033,1.852,74.6,0.0,112.7,104.6
2016-12-30 18:00,13.61,18.8,92.6,-0.236,-0.004,0.37,61.71,0.0,95.3,104.6
2016-12-30 17:00,13.61,20.85,95.2,-0.337,-0.005,1.01,135.0,0.0,89.7,104.5
2016-12-30 16:00,13.59,23.88,88.3,-0.606,0.232,3.098,148.0,0.0,125.3,104.2
2016-12-30 15:00,13.6,27.52,83.0,-0.606,0.156,2.559,160.9,0.0,113.0,104.2
2016-12-30 14:00,13.6,25.21,89.6,-0.64,0.136,2.155,211.1,0.0,-9.44,104.5
2016-12-30 13:00,13.59,24.37,91.6,-0.64,0.104,2.425,120.8,0.0,113.6,104.5
2016-12-30 12:00,13.59,23.9,89.6,-0.573,0.288,3.57,201.3,0.0,121.8,104.7
2016-12-30 11:00,13.59,22.2,90.7,-0.573,0.313,4.244,157.3,0.0,133.9,104.3
2016-12-30 10:00,13.59,20.75,89.7,-0.573,0.315,3.368,131.7,0.0,128.4,104.3
2016-12-30 09:00,13.6,18.81,93.7,-0.303,7.66,23.14,4.802,0.0,126.0,104.3
2016-12-30 08:00,13.59,18.2,83.9,1.617,9.63,17.01,327.6,0.0,113.2,104.5
2016-12-30 07:00,13.6,19.41,87.4,6.702,13.02,23.24,327.1,0.0,118.8,104.5
2016-12-30 06:00,13.59,20.01,91.4,7.71,20.04,33.07,322.8,0.0,122.7,104.4
2016-12-30 05:00,13.59,22.67,93.9,8.65,19.36,33.3,325.7,0.0,120.5,104.4
2016-12-30 04:00,13.6,21.58,95.1,7.54,16.7,27.58,319.4,0.0,126.4,105.7
2016-12-30 03:00,13.61,24.36,97.1,9.7,17.22,28.42,314.4,0.0,106.2,105.2
2016-12-30 02:00,13.6,24.73,98.3,7.74,15.38,24.41,308.3,0.0,99.9,105.2
2016-12-30 01:00,13.62,25.32,99.1,7.1,16.04,27.0,307.3,0.02,79.8,105.6
2016-12-30 00:00,13.61,28.59,100.0,6.295,13.73,22.82,297.8,0.01,-2.337,106.2
2016-12-29 23:00,13.6,29.2,100.0,7.57,13.61,26.43,295.8,0.0,-12.54,105.9
