,Temperature_m,Relative_Humidity_m,Temperature_tl,Relative_Humidity_tl,Wind_Speed_Average_tl,Wind_Speed_Maximum_tl,Wind_Direction_(deg.)_tl,precip,depth,pressure,above,below,near,storm_slabs,wet_slabs,persistent,wind_slab,loose_wet,glide,cornices,loose_dry
2014-09-23 09:00:00,56.67,58.58,54.18,60.46,0.5720000000000001,6.9270000000000005,267.7,0.0,10.0,1015.629,,,,,,,,,,,
2014-09-23 10:00:00,56.67,58.58,54.18,60.46,0.5720000000000001,6.9270000000000005,267.7,0.0,10.0,1019.431,,,,,,,,,,,
2014-09-23 11:00:00,55.82,55.47,53.69,60.46,2.113,8.54,253.8,0.0,10.0,1019.431,,,,,,,,,,,
2014-09-23 12:00:00,57.04,59.4,54.79,64.29,3.683,12.17,236.7,0.0,10.0,1019.431,,,,,,,,,,,
2014-09-23 13:00:00,55.58,64.75,53.57,70.4,5.4220000000000015,16.64,252.7,0.0,10.0,1019.431,,,,,,,,,,,
2014-09-23 14:00:00,55.58,69.35,53.71,73.1,3.443,11.87,265.8,0.0,10.0,1019.431,,,,,,,,,,,
2014-09-23 15:00:00,56.31,68.2,54.19,74.3,2.325,10.93,259.6,0.0,10.0,1019.431,,,,,,,,,,,
2014-09-23 16:00:00,55.58,69.35,53.34,72.2,1.95,11.5,267.2,0.0,10.0,1019.431,,,,,,,,,,,
2014-09-23 17:00:00,56.92,66.24,54.31,72.0,2.354,10.22,258.2,0.0,10.0,1019.431,,,,,,,,,,,
2014-09-23 18:00:00,56.8,64.27,53.83,70.8,2.7510000000000003,10.66,287.3,0.0,10.0,1019.431,,,,,,,,,,,
2014-09-23 19:00:00,54.85,73.76,53.34,76.3,0.444,3.867,303.6,0.0,10.0,1019.431,,,,,,,,,,,
2014-09-23 20:00:00,55.34,70.17,56.61,61.95,0.574,5.549,83.9,0.0,10.0,1019.431,,,,,,,,,,,
2014-09-23 21:00:00,54.73,72.74,55.88,65.84,0.414,5.784,112.8,0.0,10.0,1019.431,,,,,,,,,,,
2014-09-23 22:00:00,53.14,79.24,54.3,71.4,0.234,3.3960000000000004,97.6,0.0,10.0,1019.431,,,,,,,,,,,
2014-09-23 23:00:00,53.15,80.7,52.37,80.2,0.991,7.16,178.5,0.01,10.0,1019.431,,,,,,,,,,,
2014-09-24 00:00:00,53.64,80.3,52.62,78.6,0.162,2.859,315.3,0.0,10.0,1019.431,,,,,,,,,,,
