Date/Time (PST),Battery Voltage (v),Temperature (deg F),Relative Humidity (%),Wind Speed Minimum (mph),Wind Speed Average (mph),Wind Speed Maximum (mph),Wind Direction (deg.)
2017-12-07 15:00,13.09,49.48,9.85,0.0,5.775,11.18,211.9
2017-12-07 14:00,13.09,51.57,9.03,4.053,8.68,13.42,226.8
2017-12-07 13:00,13.11,51.82,9.44,0.0,11.07,15.79,227.0
2017-12-07 12:00,13.15,51.7,9.44,1.258,9.65,17.05,239.4
2017-12-07 11:00,13.21,55.32,4.959,0.979,8.48,13.42,242.3
2017-12-07 10:00,13.3,54.68,6.728,0.0,7.73,16.64,223.1
2017-12-07 09:00,13.36,51.76,7.273,0.14,8.7,16.36,230.8
2017-12-07 08:00,13.39,46.5,7.68,0.699,8.15,16.5,242.9
2017-12-07 07:00,13.4,39.95,9.82,0.0,6.133,18.18,251.3
2017-12-07 06:00,13.4,41.23,9.45,0.0,7.25,25.17,233.8
2017-12-07 05:00,13.4,39.95,12.13,0.0,5.493,17.76,222.7
2017-12-07 04:00,13.39,39.52,10.06,0.0,7.166,20.13,220.4
2017-12-07 03:00,13.38,39.89,9.86,0.0,5.664,20.97,207.2
2017-12-07 02:00,13.38,39.77,11.89,0.0,7.359,23.63,219.1
2017-12-07 01:00,13.37,40.26,13.19,0.0,7.942,20.41,252.0
2017-12-07 00:00,13.36,37.8,15.26,0.0,3.477,16.78,221.1
2017-12-06 23:00,13.35,34.74,16.65,0.0,6.19,19.16,213.8
2017-12-06 22:00,13.34,37.55,14.07,0.0,9.94,26.99,114.0
2017-12-06 21:00,13.31,34.13,17.64,0.0,5.828,18.18,185.8
2017-12-06 20:00,13.3,36.26,14.74,0.0,6.699,25.03,211.6
2017-12-06 19:00,13.27,35.7,18.04,0.0,7.798,21.81,143.6
2017-12-06 18:00,13.25,34.59,16.98,0.0,9.71,26.98,140.8
2017-12-06 17:00,13.22,36.79,16.17,0.0,11.76,26.28,122.1
2017-12-06 16:00,13.19,35.08,20.35,0.0,15.67,32.57,145.4
2017-12-06 15:00,13.16,37.39,14.67,0.0,17.48,46.69,122.3
2017-12-06 14:00,13.16,36.17,17.59,0.0,15.86,41.79,127.8
2017-12-06 13:00,13.18,37.4,16.78,0.14,15.2,36.48,170.8
2017-12-06 12:00,13.21,35.08,11.68,0.28,24.73,77.04,199.3
2017-12-06 11:00,13.27,36.32,14.07,1.538,31.39,53.97,215.8
2017-12-06 10:00,13.34,34.13,11.96,5.313,31.1,54.95,172.9
2017-12-06 09:00,13.39,34.39,15.77,0.839,31.65,80.6,214.0
2017-12-06 08:00,13.43,32.93,17.13,0.14,27.61,51.33,197.6
2017-12-06 07:00,13.44,32.32,14.99,3.357,32.22,57.49,159.3
2017-12-06 06:00,13.44,31.83,15.7,5.595,33.56,57.77,187.9
2017-12-06 05:00,13.43,30.97,16.32,2.238,28.37,48.67,154.3
2017-12-06 04:00,13.44,28.64,20.05,1.958,28.44,53.15,153.9
2017-12-06 03:00,13.42,29.25,21.62,0.42,30.8,56.64,152.8
2017-12-06 02:00,13.42,28.64,20.66,0.28,30.05,51.88,134.3
2017-12-06 01:00,13.4,27.78,15.19,8.67,31.14,55.93,130.7
2017-12-06 00:00,13.39,28.51,8.46,1.398,33.91,72.99,135.3
2017-12-05 23:00,13.39,28.82,25.79,0.839,34.66,65.3,125.8
2017-12-05 22:00,13.37,28.69,22.5,0.0,30.04,76.34,116.5
2017-12-05 21:00,13.34,29.97,25.38,0.0,31.54,95.4,148.9
2017-12-05 20:00,13.33,30.52,34.73,0.0,36.06,79.14,138.0
2017-12-05 19:00,13.31,30.21,50.35,0.0,38.11,81.4,162.2
2017-12-05 18:00,13.28,29.65,51.53,0.0,34.95,72.69,150.2
2017-12-05 17:00,13.25,29.09,52.38,0.28,30.34,63.74,135.6
2017-12-05 16:00,13.21,28.54,50.14,0.419,28.41,65.98,150.3
2017-12-05 15:00,13.19,26.4,55.5,0.419,22.12,47.1,150.6
2017-12-05 14:00,13.18,29.45,46.33,0.419,26.59,41.09,138.7
2017-12-05 13:00,13.19,28.42,46.03,0.699,25.71,43.33,153.0
2017-12-05 12:00,13.22,28.97,42.87,10.07,23.56,46.98,125.0
2017-12-05 11:00,13.28,30.15,39.28,0.419,25.11,38.59,134.2
2017-12-05 10:00,13.35,30.1,35.62,5.173,19.9,38.03,109.8
2017-12-05 09:00,13.41,30.6,50.17,0.28,19.44,29.09,138.8
2017-12-05 08:00,13.45,31.34,54.45,0.0,19.03,30.21,194.5
2017-12-05 07:00,13.45,29.99,55.4,0.0,12.02,19.02,182.8
2017-12-05 06:00,13.45,29.32,57.24,0.28,8.77,17.62,183.6
2017-12-05 05:00,13.44,29.26,58.02,0.0,5.681,12.59,193.2
2017-12-05 04:00,13.43,27.35,60.97,0.0,1.299,4.615,262.4
2017-12-05 03:00,13.42,26.68,60.56,0.0,0.149,3.216,238.1
2017-12-05 02:00,13.41,26.8,59.78,0.0,0.195,1.818,253.0
2017-12-05 01:00,13.4,25.45,59.54,0.0,0.08,1.538,275.0
2017-12-05 00:00,13.38,26.07,58.69,0.0,0.53,4.614,224.3
2017-12-04 23:00,13.37,27.16,57.23,0.0,2.806,10.77,163.0
2017-12-04 22:00,13.36,27.4,57.59,0.0,1.77,15.24,248.0
2017-12-04 21:00,13.35,30.28,52.8,0.0,4.334,14.54,241.3
2017-12-04 20:00,13.32,29.05,49.2,0.0,11.87,29.36,272.3
2017-12-04 19:00,13.3,28.61,40.19,0.14,14.68,34.53,263.5
2017-12-04 18:00,13.27,27.93,45.92,0.0,16.05,53.26,302.6
2017-12-04 17:00,13.24,32.39,36.55,0.0,8.07,22.5,253.1
2017-12-04 16:00,13.22,30.8,32.95,0.0,3.396,18.45,214.7
2017-12-04 15:00,13.21,30.19,36.62,0.0,0.593,9.09,205.6
2017-12-04 14:00,13.21,31.29,34.04,0.0,0.685,7.269,236.2
2017-12-04 13:00,13.23,33.25,35.77,0.0,2.421,9.65,222.0
2017-12-04 12:00,13.27,34.6,26.46,0.0,2.1,7.97,228.3
2017-12-04 11:00,13.35,38.66,28.41,0.0,3.553,15.38,229.8
2017-12-04 10:00,13.43,37.82,26.27,0.0,10.06,31.61,209.0
2017-12-04 09:00,13.47,34.64,21.01,0.0,13.84,35.53,275.3
2017-12-04 08:00,13.52,33.05,16.86,0.0,6.386,26.58,195.9
2017-12-04 07:00,13.52,23.39,41.26,0.0,8.46,33.99,214.8
2017-12-04 06:00,13.52,24.37,43.27,0.0,6.885,27.41,205.2
2017-12-04 05:00,13.52,30.3,26.51,0.0,16.04,37.77,265.9
2017-12-04 04:00,13.52,29.02,30.49,0.0,15.47,33.57,292.2
2017-12-04 03:00,13.52,24.85,53.09,0.0,15.81,41.4,299.8
2017-12-04 02:00,13.51,21.18,83.9,0.0,17.65,40.56,294.7
2017-12-04 01:00,13.51,18.18,88.7,0.0,17.98,33.57,289.4
2017-12-04 00:00,13.5,18.49,88.2,0.0,18.63,44.34,289.8
2017-12-03 23:00,13.5,18.0,88.1,0.28,21.8,46.3,285.4
2017-12-03 22:00,13.49,18.98,87.8,0.42,24.19,51.33,278.3
2017-12-03 21:00,13.48,16.41,87.7,0.0,24.75,50.35,273.0
2017-12-03 20:00,13.47,16.35,87.8,0.14,26.19,50.21,275.7
2017-12-03 19:00,13.45,15.68,86.7,0.0,32.7,90.3,273.0
2017-12-03 18:00,13.43,17.99,89.4,0.28,31.28,67.53,272.9
2017-12-03 17:00,13.4,16.03,88.0,0.0,27.54,84.6,276.9
2017-12-03 16:00,13.37,16.76,88.3,0.0,25.7,67.26,273.8
2017-12-03 15:00,13.36,18.1,88.5,0.0,28.25,78.02,273.1
2017-12-03 14:00,13.35,19.63,89.5,0.0,23.13,71.45,270.4
2017-12-03 13:00,13.35,20.0,89.7,0.0,24.7,76.06,269.1
2017-12-03 12:00,13.36,21.04,89.2,0.0,25.58,69.49,270.6
2017-12-03 11:00,13.4,21.54,88.8,0.0,22.1,64.34,271.6
2017-12-03 10:00,13.47,21.79,89.1,0.0,24.3,58.33,272.0
2017-12-03 09:00,13.52,21.18,89.5,0.0,23.41,60.98,275.6
2017-12-03 08:00,13.54,15.92,88.2,0.0,21.77,54.69,277.3
2017-12-03 07:00,13.54,16.11,87.9,0.0,27.26,67.28,271.4
2017-12-03 06:00,13.54,16.96,88.8,0.0,28.3,65.88,268.0
2017-12-03 05:00,13.53,17.15,89.1,0.0,29.36,74.27,268.4
2017-12-03 04:00,13.52,15.92,88.9,0.0,28.08,70.91,270.4
2017-12-03 03:00,13.52,16.17,88.8,0.0,27.8,70.91,268.5
2017-12-03 02:00,13.51,16.53,89.3,0.0,26.17,55.53,267.0
2017-12-03 01:00,13.51,17.21,89.0,0.0,23.66,57.21,255.7
2017-12-03 00:00,13.51,18.25,89.9,0.0,22.23,60.7,237.9
2017-12-02 23:00,13.5,18.74,89.6,0.0,24.65,89.5,245.9
2017-12-02 22:00,13.5,18.8,90.4,0.0,23.32,56.09,257.1
2017-12-02 21:00,13.49,19.53,90.7,0.0,20.04,48.54,249.2
2017-12-02 20:00,13.48,19.47,89.9,0.0,19.6,41.4,250.0
2017-12-02 19:00,13.48,19.78,90.8,0.0,20.33,51.33,237.1
2017-12-02 18:00,13.48,19.84,91.0,0.0,18.44,61.68,241.6
2017-12-02 17:00,13.48,20.33,90.6,0.0,16.31,47.98,226.6
2017-12-02 16:00,13.48,21.0,91.0,0.0,15.55,58.75,223.9
2017-12-02 15:00,13.48,21.67,91.6,0.0,20.05,61.82,231.8
2017-12-02 14:00,13.49,22.96,92.4,0.0,20.73,45.04,224.4
2017-12-02 13:00,13.5,22.71,92.3,0.0,20.66,38.18,220.1
2017-12-02 12:00,13.5,22.65,92.7,0.0,19.69,33.29,207.3
2017-12-02 11:00,13.5,23.02,92.3,0.0,18.93,42.8,208.9
2017-12-02 10:00,13.51,22.22,92.5,0.14,18.37,31.47,212.3
2017-12-02 09:00,13.5,22.04,91.9,0.0,18.87,33.71,212.4
2017-12-02 08:00,13.49,22.04,92.7,0.0,15.89,45.6,221.3
2017-12-02 07:00,13.5,21.67,92.1,0.0,13.65,54.41,227.8
2017-12-02 06:00,13.5,21.67,91.8,0.0,17.56,61.96,234.5
2017-12-02 05:00,13.5,21.67,92.2,0.0,18.63,66.3,234.0
2017-12-02 04:00,13.5,21.55,92.6,0.0,16.1,54.69,236.7
2017-12-02 03:00,13.5,22.53,92.4,0.0,12.51,55.11,239.7
2017-12-02 02:00,13.5,22.41,92.7,0.0,11.55,70.49,243.3
2017-12-02 01:00,13.5,22.41,92.3,0.0,18.21,90.9,243.9
2017-12-02 00:00,13.5,22.16,92.3,0.0,22.26,74.27,241.3
2017-12-01 23:00,13.49,22.28,92.5,0.0,25.4,84.2,240.1
2017-12-01 22:00,13.49,21.67,92.3,0.0,19.17,76.51,245.1
2017-12-01 21:00,13.48,18.92,89.9,0.0,27.53,91.1,240.8
2017-12-01 20:00,13.48,18.98,90.4,0.0,21.77,100.7,234.5
2017-12-01 19:00,13.47,19.84,73.39,0.0,26.08,103.9,238.6
