Date/Time (PST),Battery Voltage (v),Temperature (deg F),Relative Humidity (%),"Precipitation ("")","24 hour snowfall ("")","Snow Depth ("")",Barometric Pressure (mb)
2016-12-31 23:00,13.94,18.94,90.7,0.06,1.003,76.66,1003.799
2016-12-31 22:00,13.92,21.5,92.0,0.08,0.939,75.81,1003.785
2016-12-31 21:00,13.92,22.84,91.9,0.06,0.671,75.8,1003.383
2016-12-31 20:00,13.91,22.23,91.5,0.01,0.341,75.55,1004.309
2016-12-31 19:00,13.89,22.71,88.5,0.0,0.278,75.43,1005.385
2016-12-31 18:00,13.85,28.32,35.72,0.0,0.218,75.73,1005.35
2016-12-31 17:00,13.8,31.47,26.49,0.0,0.165,75.39,1006.235
2016-12-31 16:00,13.77,36.1,26.22,0.0,0.167,75.6,1007.307
2016-12-31 15:00,13.75,37.8,21.68,0.0,0.1,75.4,1007.985
2016-12-31 14:00,13.74,40.61,21.21,0.0,0.3,75.8,1008.933
2016-12-31 13:00,13.77,41.83,23.37,0.0,0.167,75.53,1009.611
2016-12-31 12:00,13.8,36.22,40.45,0.0,0.03,74.99,1010.837
2016-12-31 11:00,13.81,31.11,56.72,0.0,0.292,75.09,1011.677
2016-12-31 10:00,13.95,30.41,45.15,0.0,0.202,76.06,1012.477
2016-12-31 09:00,13.99,24.8,56.41,0.0,0.335,76.32,1013.155
2016-12-31 08:00,14.01,21.99,56.95,0.0,0.335,76.39,1013.156
2016-12-31 07:00,14.02,21.02,59.32,0.0,0.335,76.05,1013.841
2016-12-31 06:00,14.02,21.52,52.15,0.0,0.33,76.3,1014.282
2016-12-31 05:00,14.03,20.79,51.34,0.0,0.32,76.32,1014.713
2016-12-31 04:00,14.04,20.31,54.26,0.0,0.32,76.25,1015.403
2016-12-31 03:00,14.05,19.57,56.7,0.0,0.32,76.32,1016.217
2016-12-31 02:00,14.06,19.08,58.19,0.0,0.32,76.52,1016.217
2016-12-31 01:00,14.06,16.64,73.45,0.0,0.32,76.32,1016.488
2016-12-31 00:00,14.06,16.89,65.04,0.0,0.32,76.45,1016.76
2016-12-30 23:00,14.05,17.13,79.01,0.0,0.32,76.65,1017.167
2016-12-30 22:00,14.04,16.64,81.9,0.0,0.32,76.72,1017.031
2016-12-30 21:00,14.03,17.13,83.0,0.0,0.32,76.72,1017.167
2016-12-30 20:00,14.01,17.37,88.0,0.0,0.321,76.39,1017.022
2016-12-30 19:00,13.99,18.45,91.6,0.0,0.334,76.65,1017.225
2016-12-30 18:00,13.98,18.58,88.3,0.0,0.335,76.86,1017.222
2016-12-30 17:00,13.94,20.41,84.1,0.0,0.269,76.79,1016.951
2016-12-30 16:00,13.9,22.72,84.9,0.0,0.273,76.81,1016.928
2016-12-30 15:00,13.87,25.02,79.36,0.0,0.218,76.8,1016.329
2016-12-30 14:00,13.85,26.61,78.08,0.0,0.284,76.66,1016.465
2016-12-30 13:00,13.84,27.58,51.64,0.0,0.284,76.86,1016.329
2016-12-30 12:00,13.85,28.56,72.65,0.0,0.284,76.39,1016.465
2016-12-30 11:00,13.86,25.75,77.8,0.0,0.284,76.8,1016.601
2016-12-30 10:00,13.93,22.97,87.1,0.0,0.202,76.79,1016.544
2016-12-30 09:00,13.94,21.14,86.5,0.0,0.335,77.39,1015.867
2016-12-30 08:00,13.92,21.26,89.6,0.0,0.27,77.39,1015.317
2016-12-30 07:00,13.89,21.98,93.3,0.0,0.277,77.3,1015.148
2016-12-30 06:00,13.87,25.39,68.79,0.0,0.284,77.4,1014.703
2016-12-30 05:00,13.85,28.8,75.03,0.0,0.284,77.4,1014.567
2016-12-30 04:00,13.84,29.54,78.55,0.0,0.284,77.4,1014.432
2016-12-30 03:00,13.83,30.39,78.28,0.0,0.284,77.53,1014.703
2016-12-30 02:00,13.82,31.0,82.3,0.0,0.284,77.66,1014.974
2016-12-30 01:00,13.81,30.38,87.6,0.0,0.285,77.73,1015.225
2016-12-30 00:00,13.79,30.73,93.3,0.01,0.297,77.99,1015.444
2016-12-29 23:00,13.79,31.34,94.2,0.0,0.299,77.86,1015.846
2016-12-29 22:00,13.79,31.35,94.8,0.0,0.297,77.92,1016.133
2016-12-29 21:00,13.78,32.44,92.6,0.0,0.297,78.05,1016.258
2016-12-29 20:00,13.78,32.07,91.9,0.0,0.298,78.06,1017.068
2016-12-29 19:00,13.79,31.83,83.7,0.0,0.296,77.98,1017.352
2016-12-29 18:00,13.78,32.45,73.31,0.0,0.296,77.98,1017.356
2016-12-29 17:00,13.77,34.39,66.26,0.0,0.298,78.19,1017.889
2016-12-29 16:00,13.76,35.37,63.69,0.0,0.299,78.2,1018.014
2016-12-29 15:00,13.76,35.98,62.6,0.0,0.167,78.13,1018.418
2016-12-29 14:00,13.75,36.83,62.47,0.0,0.1,78.13,1018.825
2016-12-29 13:00,13.75,36.95,65.04,0.0,0.167,78.2,1019.231
2016-12-29 12:00,13.74,36.95,65.24,0.0,0.3,78.2,1019.502
2016-12-29 11:00,13.73,33.17,85.1,0.0,0.167,78.07,1019.909
2016-12-29 10:00,13.77,36.59,71.82,0.0,0.167,78.53,1020.18
2016-12-29 09:00,13.79,35.62,76.5,0.0,0.298,79.13,1019.928
2016-12-29 08:00,13.81,32.93,81.0,0.0,0.299,78.86,1019.654
2016-12-29 07:00,13.82,32.69,85.2,0.0,0.362,78.85,1019.65
2016-12-29 06:00,13.84,31.0,88.3,0.0,0.151,78.26,1019.847
2016-12-29 05:00,13.84,31.85,84.3,0.0,0.084,79.06,1020.125
2016-12-29 04:00,13.86,30.88,88.6,0.0,0.284,79.13,1020.396
2016-12-29 03:00,13.89,27.1,92.9,0.0,0.284,79.2,1020.938
