Date/Time (PST),Battery Voltage (v),Temperature (deg F),Relative Humidity (%),Wind Speed Minimum (mph),Wind Speed Average (mph),Wind Speed Maximum (mph),Wind Direction (deg.)
2016-12-31 23:00,13.3,13.43,95.3,33.58,49.68,68.88,360.0
2016-12-31 22:00,13.3,15.98,96.1,39.74,55.96,73.64,359.9
2016-12-31 21:00,13.3,17.2,96.4,33.94,52.2,80.6,0.054
2016-12-31 20:00,13.3,17.19,96.1,32.58,44.0,58.53,0.094
2016-12-31 19:00,13.3,16.82,95.9,18.83,43.47,60.49,0.33
2016-12-31 18:00,13.3,18.03,89.9,0.0,29.98,54.44,359.5
2016-12-31 17:00,13.3,21.43,65.41,0.0,34.95,51.53,358.1
2016-12-31 16:00,13.3,25.21,79.77,0.0,31.38,49.84,359.9
2016-12-31 15:00,13.31,25.45,79.56,0.406,27.47,39.03,0.147
2016-12-31 14:00,13.3,27.63,75.14,0.0,15.66,30.46,358.8
2016-12-31 13:00,13.3,28.23,65.46,0.0,7.414,21.56,349.6
2016-12-31 12:00,13.31,29.7,79.27,0.0,6.607,17.87,337.6
2016-12-31 11:00,13.3,35.77,91.0,0.0,7.643,17.39,331.1
2016-12-31 10:00,13.31,33.72,87.8,0.0,6.503,19.56,337.6
2016-12-31 09:00,13.3,31.28,88.7,0.0,12.27,20.92,337.5
2016-12-31 08:00,13.3,30.94,96.2,0.0,13.05,20.45,331.6
2016-12-31 07:00,13.3,30.71,88.8,0.0,1.307,9.69,10.1
2016-12-31 06:00,13.3,29.37,90.2,0.0,0.161,1.05,15.49
2016-12-31 05:00,13.3,27.43,81.1,0.0,0.289,7.485,7.251
2016-12-31 04:00,13.3,22.67,93.6,0.0,0.507,6.605,9.9
2016-12-31 03:00,13.3,19.63,89.8,0.0,1.313,7.553,359.4
2016-12-31 02:00,13.3,19.02,92.5,0.0,0.171,1.185,12.65
2016-12-31 01:00,13.3,20.48,90.7,0.0,0.279,4.234,19.84
2016-12-31 00:00,13.3,18.89,92.8,0.0,0.201,2.134,4.463
2016-12-30 23:00,13.3,17.8,91.9,0.0,0.186,1.118,340.5
2016-12-30 22:00,13.3,17.31,92.5,0.0,0.384,4.776,2.646
2016-12-30 21:00,13.3,16.21,92.1,0.0,0.182,1.321,303.0
2016-12-30 20:00,13.3,15.84,93.3,0.0,0.298,4.539,294.3
2016-12-30 19:00,13.3,16.82,94.2,0.0,2.788,15.07,289.4
2016-12-30 18:00,13.3,17.3,94.1,0.0,1.779,13.31,0.513
2016-12-30 17:00,13.3,18.64,92.9,0.0,1.603,17.51,0.384
2016-12-30 16:00,13.3,20.71,96.5,0.0,0.997,8.3,359.7
2016-12-30 15:00,13.3,21.56,96.6,0.0,0.667,6.433,0.059
2016-12-30 14:00,13.3,18.99,91.0,0.0,5.828,15.78,0.021
2016-12-30 13:00,13.3,19.97,83.8,0.0,3.395,16.66,15.42
2016-12-30 12:00,13.3,20.47,87.6,0.0,4.274,17.24,3.679
2016-12-30 11:00,13.3,22.55,96.3,0.0,0.492,3.726,1.102
2016-12-30 10:00,13.3,20.0,94.1,0.0,1.69,15.42,0.669
2016-12-30 09:00,13.3,18.06,92.2,0.0,14.08,29.54,359.9
2016-12-30 08:00,13.3,15.61,94.0,0.0,16.8,27.3,359.8
