Date/Time (PST),Battery Voltage (v),Temperature (deg F),Relative Humidity (%),Wind Speed Minimum (mph),Wind Speed Average (mph),Wind Speed Maximum (mph),Wind Direction (deg.),"Precipitation ("")","24 hour snowfall ("")","Snow Depth ("")"
2017-12-07 18:00,13.61,44.55,13.19,-0.101,4.29,11.1,79.4,0.0,0.029,31.2
2017-12-07 17:00,13.6,42.49,16.29,3.028,6.945,13.83,74.9,0.0,0.162,31.39
2017-12-07 16:00,13.59,44.79,14.33,-0.034,5.784,12.31,73.9,0.0,0.228,30.6
2017-12-07 15:00,13.6,43.7,17.23,-0.034,5.054,8.98,73.0,0.0,5.129,30.6
2017-12-07 14:00,13.6,44.19,20.19,0.202,3.471,10.2,76.8,0.0,5.129,31.06
2017-12-07 13:00,13.61,42.13,18.17,-0.067,4.642,11.81,79.4,0.0,5.063,31.26
2017-12-07 12:00,13.6,40.79,19.25,-0.067,2.915,9.52,81.4,0.0,4.997,31.59
2017-12-07 11:00,13.6,41.76,17.29,-0.101,1.807,9.15,85.4,0.0,5.063,31.59
2017-12-07 10:00,13.6,43.71,17.16,-0.034,3.32,10.36,82.6,0.0,5.127,31.71
2017-12-07 09:00,13.61,42.86,14.54,0.202,6.224,12.08,80.5,0.0,5.058,31.42
2017-12-07 08:00,13.6,42.26,17.16,0.0,4.95,13.97,80.5,0.0,5.056,31.42
2017-12-07 07:00,13.6,42.26,13.46,0.404,6.038,15.95,80.6,0.0,5.122,32.08
2017-12-07 06:00,13.61,42.01,13.93,0.37,7.89,16.72,83.8,0.0,5.257,32.16
2017-12-07 05:00,13.6,42.74,14.13,-0.034,7.5,18.98,80.0,0.0,5.123,32.11
2017-12-07 04:00,13.6,44.07,13.32,1.279,8.36,19.85,82.7,0.0,5.127,31.96
2017-12-07 03:00,13.6,43.59,13.53,2.928,9.3,17.84,83.4,0.0,5.124,31.82
2017-12-07 02:00,13.61,41.53,17.36,0.0,5.379,19.18,87.1,0.0,5.056,31.82
2017-12-07 01:00,13.63,40.94,18.71,-0.101,4.657,14.54,87.8,0.0,5.118,31.86
2017-12-07 00:00,13.6,38.64,18.18,0.269,5.043,15.05,89.3,0.0,5.116,32.04
2017-12-06 23:00,13.61,38.4,20.2,2.524,7.98,17.44,86.8,0.0,5.049,31.92
2017-12-06 22:00,13.6,36.82,23.02,1.818,9.23,23.02,90.2,0.0,5.117,31.59
2017-12-06 21:00,13.59,38.52,21.07,2.861,9.19,23.16,85.7,0.0,5.25,31.59
2017-12-06 20:00,13.59,38.16,17.17,1.649,7.43,20.53,88.1,0.0,5.447,31.72
2017-12-06 19:00,13.59,37.31,27.06,1.414,7.43,20.57,85.1,0.0,5.249,31.72
2017-12-06 18:00,13.6,37.05,23.56,1.683,7.99,21.34,89.0,0.0,5.454,32.28
2017-12-06 17:00,13.59,39.47,21.07,3.466,9.69,23.08,86.2,0.0,5.321,32.28
