Date/Time (PST),Temperature_tl,Relative_Humidity_tl,Wind_Speed_Average_tl,Wind_Speed_Maximum_tl,Wind_Direction_(deg.)_tl,Precipitation_tl,24_hour_snowfall_tl,Snow_Depth_tl
2014-09-23 09:00:00+00:00,54.18,60.46,0.5720000000000001,6.9270000000000005,267.7,0.0,30.88,4.007
2014-09-23 10:00:00+00:00,54.18,60.46,0.5720000000000001,6.9270000000000005,267.7,0.0,4.007,30.88
2014-09-23 11:00:00+00:00,53.69,60.46,2.113,8.54,253.8,0.0,3.077,31.35
2014-09-23 12:00:00+00:00,54.79,64.29,3.6830000000000003,12.17,236.7,0.0,3.077,31.41
2014-09-23 13:00:00+00:00,53.57,70.4,5.422000000000001,16.64,252.7,0.0,0.0,30.82
2014-09-23 14:00:00+00:00,53.71,73.1,3.443,11.87,265.8,0.0,2.444,30.75
2014-09-23 15:00:00+00:00,54.19,74.3,2.325,10.93,259.6,0.0,2.444,30.95
2014-09-23 16:00:00+00:00,53.34,72.2,1.95,11.5,267.2,0.0,0.0,31.08
2014-09-23 17:00:00+00:00,54.31,72.0,2.354,10.22,258.2,0.0,0.0,31.28
2014-09-23 18:00:00+00:00,53.83,70.8,2.7510000000000003,10.66,287.3,0.0,3.633,31.34
2014-09-23 19:00:00+00:00,53.34,76.3,0.444,3.867,303.6,0.01,1.25,30.75
2014-09-23 20:00:00+00:00,56.61,61.95,0.574,5.5489999999999995,83.9,0.0,1.25,31.28
2014-09-23 21:00:00+00:00,55.88,65.84,0.414,5.784,112.8,0.0,0.0,31.21
2014-09-23 22:00:00+00:00,54.3,71.4,0.23399999999999999,3.3960000000000004,97.6,0.0,0.0,30.88
2014-09-23 23:00:00+00:00,52.37,80.2,0.991,7.16,178.5,0.02,1.74,31.34
2014-09-24 00:00:00+00:00,52.62,78.6,0.162,2.859,315.3,0.0,0.0,31.08
2014-09-24 01:00:00+00:00,48.99,96.3,3.37,9.22,311.4,0.03,0.0,30.62
2014-09-24 02:00:00+00:00,44.76,100.0,10.17,23.95,300.7,0.34,2.1319999999999997,31.14
2014-09-24 03:00:00+00:00,44.16,100.0,11.77,23.44,294.4,0.15,2.1319999999999997,30.68
2014-09-24 04:00:00+00:00,43.8,100.0,10.92,24.45,292.8,0.06,1.723,30.74
2014-09-24 05:00:00+00:00,44.04,100.0,10.39,19.95,293.6,0.03,1.723,31.27
2014-09-24 06:00:00+00:00,44.29,100.0,9.19,21.06,287.2,0.02,2.039,30.68
2014-09-24 07:00:00+00:00,44.04,100.0,8.65,22.81,280.2,0.03,2.039,30.94
2014-09-24 08:00:00+00:00,42.72,99.1,6.2829999999999995,16.01,277.0,0.03,4.364,31.21
2014-09-24 09:00:00+00:00,43.57,100.0,5.301,15.0,268.4,0.01,3.013,31.27
2014-09-24 10:00:00+00:00,43.44,100.0,2.061,7.64,235.2,0.06,3.013,31.47
2014-09-24 11:00:00+00:00,43.31,100.0,2.496,11.03,242.7,0.03,1.8519999999999999,31.47
2014-09-24 12:00:00+00:00,43.92,99.6,0.735,5.853,230.5,0.03,1.8519999999999999,30.81
2014-09-24 13:00:00+00:00,44.16,98.8,1.646,10.93,249.8,0.0,3.639,30.68
2014-09-24 14:00:00+00:00,44.28,100.0,2.195,9.28,272.8,0.03,0.47600000000000003,31.08
2014-09-24 15:00:00+00:00,44.04,100.0,2.369,12.21,269.9,0.06,0.47600000000000003,31.34
2014-09-24 16:00:00+00:00,43.79,99.0,3.576,11.91,281.3,0.0,0.9390000000000001,31.41
2014-09-24 17:00:00+00:00,43.67,99.2,2.256,8.95,282.3,0.0,1.138,30.88
2014-09-24 18:00:00+00:00,43.55,98.8,1.6269999999999998,10.12,300.2,0.0,0.0,31.41
2014-09-24 19:00:00+00:00,42.7,98.2,0.233,4.205,212.1,0.08,0.0,30.81
2014-09-24 20:00:00+00:00,41.63,98.6,0.705,7.33,252.2,0.06,0.608,31.01
2014-09-24 21:00:00+00:00,41.51,99.3,0.87,7.67,67.47,0.04,1.9569999999999999,31.34
2014-09-24 22:00:00+00:00,41.14,98.8,0.42100000000000004,6.526,185.0,0.06,2.483,30.74
2014-09-24 23:00:00+00:00,41.02,96.1,0.261,5.247999999999999,57.7,0.03,2.483,30.81
2014-09-25 00:00:00+00:00,40.78,97.0,1.4809999999999999,8.44,64.32,0.0,2.88,31.54
2014-09-25 01:00:00+00:00,40.42,98.2,0.907,8.75,45.3,0.0,2.88,31.21
2014-09-25 02:00:00+00:00,40.42,98.1,0.6459999999999999,7.37,296.1,0.0,4.26,30.81
2014-09-25 03:00:00+00:00,40.54,98.4,0.11800000000000001,2.59,319.2,0.0,2.88,31.01
2014-09-25 04:00:00+00:00,40.17,99.9,0.035,3.028,200.2,0.0,2.417,30.68
2014-09-25 05:00:00+00:00,39.93,98.7,0.114,2.456,276.4,0.0,1.953,31.34
2014-09-25 06:00:00+00:00,39.69,99.5,0.147,2.187,319.9,0.0,1.953,31.34
2014-09-25 07:00:00+00:00,40.42,97.3,0.024,1.0090000000000001,8.46,0.0,2.019,30.61
2014-09-25 08:00:00+00:00,41.26,97.5,0.012,1.2109999999999999,36.14,0.0,2.615,31.34
2014-09-25 09:00:00+00:00,41.02,98.2,0.011000000000000001,1.245,248.0,0.0,3.8739999999999997,31.4
